sp_ID;Canada-2;Canada-3;Canada-4;Canada-5;Canada-6;Canada-7;Canada-8;Canada-9;Canada-10;Canada-11;Canada-12;Canada-13;Canada-14;Canada-15;Canada-16;Canada-17;Canada-18;Canada-19;Canada-20;Canada-21;Canada-22;Canada-23;Canada-24;Canada-25;Canada-26;Canada-27;Canada-28;Canada-29;Canada-30;Canada-31;Canada-33;Canada-34;Canada-35;Canada-36;Canada-37;Canada-38;Canada-39;Canada-40;Canada-41;Canada-42;Canada-43;Canada-44
Symphyotrichum pratense;0;605;0;0;0;0;0;0;0;0;0;0;0;565;0;0;1755;0;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Symphyotrichum puniceum;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Symphytum asperum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0
Symphytum officinale;0;0;0;0;0;0;0;0;0;0;0;1262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tanacetum vulgare;110;0;0;0;0;0;0;0;0;0;0;0;558;0;222;1693;0;0;0;0;0;0;832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taraxacum officinale;0;0;0;0;0;209;225;0;0;0;0;0;0;63;0;0;0;23;0;248;0;25;371;49;0;0;0;1574;0;0;0;0;0;68;0;0;721;0;0;0;0;0
Tarenaya hassleriana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trifolium pratense;226;0;0;0;0;0;62;0;35526;7779;779;0;637;0;0;0;0;0;11560;0;0;0;0;0;0;0;0;0;0;0;1484;4055;0;0;4915;0;0;4714;54;24;0;0
Trifolium repens;5846;11503;0;9735;18968;1933;1479;629;31;0;0;73;3952;281;1725;0;0;0;12161;0;28;24180;2504;405;2044;15939;0;0;27;0;6329;3269;134;0;14042;19186;0;43;75;73;101;1618
Vicia cracca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;163;0;0;0;0;0;0;0;0;0;0;39
